SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
74501,9606.ENSP00000240652 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000240652 (pp) 9606.ENSP00000500990,False,pp,0.934,,0.0,0.0,0.0,0.0,0.226,0.4,0.869
74510,9606.ENSP00000263334 (pp) 9606.ENSP00000408695,pp,9606.ENSP00000263334 (pp) 9606.ENSP00000408695,False,pp,0.911,,0.0,0.0,0.0,0.06,0.0,0.9,0.136
74519,9606.ENSP00000271277 (pp) 9606.ENSP00000311344,pp,9606.ENSP00000271277 (pp) 9606.ENSP00000311344,False,pp,0.994,,0.0,0.0,0.0,0.0,0.994,0.0,0.0
74528,9606.ENSP00000276708 (pp) 9606.ENSP00000415049,pp,9606.ENSP00000276708 (pp) 9606.ENSP00000415049,False,pp,0.977,,0.0,0.0,0.0,0.0,0.0,0.0,0.977
74537,9606.ENSP00000297512 (pp) 9606.ENSP00000442477,pp,9606.ENSP00000297512 (pp) 9606.ENSP00000442477,False,pp,0.915,,0.0,0.0,0.0,0.0,0.0,0.9,0.186
74543,9606.ENSP00000297512 (pp) 9606.ENSP00000350786,pp,9606.ENSP00000297512 (pp) 9606.ENSP00000350786,False,pp,0.969,,0.0,0.0,0.056,0.05,0.0,0.9,0.699
74546,9606.ENSP00000311344 (pp) 9606.ENSP00000408695,pp,9606.ENSP00000311344 (pp) 9606.ENSP00000408695,False,pp,0.906,,0.0,0.0,0.0,0.042,0.0,0.9,0.107
74552,9606.ENSP00000311344 (pp) 9606.ENSP00000318641,pp,9606.ENSP00000311344 (pp) 9606.ENSP00000318641,False,pp,0.994,,0.0,0.0,0.0,0.053,0.994,0.0,0.082
74558,9606.ENSP00000311344 (pp) 9606.ENSP00000327889,pp,9606.ENSP00000311344 (pp) 9606.ENSP00000327889,False,pp,0.995,,0.0,0.0,0.0,0.06,0.994,0.0,0.234
74567,9606.ENSP00000312834 (pp) 9606.ENSP00000320886,pp,9606.ENSP00000312834 (pp) 9606.ENSP00000320886,False,pp,0.992,,0.0,0.0,0.078,0.044,0.0,0.9,0.929
74573,9606.ENSP00000318641 (pp) 9606.ENSP00000403683,pp,9606.ENSP00000318641 (pp) 9606.ENSP00000403683,False,pp,0.999,,0.0,0.0,0.0,0.0,0.994,0.9,0.843
74576,9606.ENSP00000318641 (pp) 9606.ENSP00000327889,pp,9606.ENSP00000318641 (pp) 9606.ENSP00000327889,False,pp,0.999,,0.0,0.0,0.0,0.102,0.994,0.8,0.794
74582,9606.ENSP00000318641 (pp) 9606.ENSP00000363360,pp,9606.ENSP00000318641 (pp) 9606.ENSP00000363360,False,pp,0.999,,0.0,0.0,0.0,0.127,0.999,0.9,0.999
74591,9606.ENSP00000320401 (pp) 9606.ENSP00000377197,pp,9606.ENSP00000320401 (pp) 9606.ENSP00000377197,False,pp,0.827,,0.0,0.0,0.0,0.0,0.045,0.0,0.827
74597,9606.ENSP00000320401 (pp) 9606.ENSP00000496150,pp,9606.ENSP00000320401 (pp) 9606.ENSP00000496150,False,pp,0.963,,0.0,0.0,0.0,0.067,0.0,0.905,0.614
74606,9606.ENSP00000326227 (pp) 9606.ENSP00000354610,pp,9606.ENSP00000326227 (pp) 9606.ENSP00000354610,False,pp,0.9,,0.0,0.0,0.0,0.0,0.0,0.9,0.0
74615,9606.ENSP00000327487 (pp) 9606.ENSP00000355299,pp,9606.ENSP00000327487 (pp) 9606.ENSP00000355299,False,pp,0.999,,0.0,0.0,0.0,0.049,0.821,0.8,0.999
74621,9606.ENSP00000327487 (pp) 9606.ENSP00000397402,pp,9606.ENSP00000327487 (pp) 9606.ENSP00000397402,False,pp,0.999,,0.0,0.0,0.0,0.296,0.331,0.8,0.999
74624,9606.ENSP00000327889 (pp) 9606.ENSP00000403683,pp,9606.ENSP00000327889 (pp) 9606.ENSP00000403683,False,pp,0.997,,0.0,0.0,0.0,0.0,0.994,0.5,0.148
74633,9606.ENSP00000340434 (pp) 9606.ENSP00000419786,pp,9606.ENSP00000340434 (pp) 9606.ENSP00000419786,False,pp,0.81,,0.0,0.0,0.0,0.0,0.0,0.0,0.81
74639,9606.ENSP00000342793 (pp) 9606.ENSP00000408695,pp,9606.ENSP00000342793 (pp) 9606.ENSP00000408695,False,pp,0.96,,0.0,0.0,0.0,0.058,0.292,0.9,0.479
74642,9606.ENSP00000350786 (pp) 9606.ENSP00000442477,pp,9606.ENSP00000350786 (pp) 9606.ENSP00000442477,False,pp,0.921,,0.0,0.0,0.0,0.0,0.0,0.9,0.248
74645,9606.ENSP00000355299 (pp) 9606.ENSP00000397402,pp,9606.ENSP00000355299 (pp) 9606.ENSP00000397402,False,pp,0.999,,0.0,0.0,0.0,0.0,0.863,0.8,0.999
74654,9606.ENSP00000360730 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000360730 (pp) 9606.ENSP00000450565,False,pp,0.843,,0.0,0.0,0.0,0.0,0.0,0.0,0.843
74660,9606.ENSP00000360730 (pp) 9606.ENSP00000431885,pp,9606.ENSP00000360730 (pp) 9606.ENSP00000431885,False,pp,0.998,,0.0,0.0,0.0,0.069,0.292,0.9,0.982
74663,9606.ENSP00000363360 (pp) 9606.ENSP00000403683,pp,9606.ENSP00000363360 (pp) 9606.ENSP00000403683,False,pp,0.985,,0.0,0.0,0.0,0.042,0.421,0.9,0.762
74672,9606.ENSP00000364150 (pp) 9606.ENSP00000484640,pp,9606.ENSP00000364150 (pp) 9606.ENSP00000484640,False,pp,0.923,,0.0,0.0,0.0,0.042,0.0,0.9,0.264
74678,9606.ENSP00000368265 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000368265 (pp) 9606.ENSP00000450565,False,pp,0.812,,0.0,0.0,0.0,0.055,0.0,0.0,0.81
74681,9606.ENSP00000368265 (pp) 9606.ENSP00000431885,pp,9606.ENSP00000368265 (pp) 9606.ENSP00000431885,False,pp,0.849,,0.0,0.0,0.0,0.0,0.0,0.65,0.587
74687,9606.ENSP00000368265 (pp) 9606.ENSP00000370698,pp,9606.ENSP00000368265 (pp) 9606.ENSP00000370698,False,pp,0.986,,0.0,0.0,0.0,0.054,0.328,0.8,0.905
74690,9606.ENSP00000370698 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000370698 (pp) 9606.ENSP00000450565,False,pp,0.918,,0.0,0.0,0.0,0.044,0.0,0.8,0.606
74693,9606.ENSP00000370698 (pp) 9606.ENSP00000431885,pp,9606.ENSP00000370698 (pp) 9606.ENSP00000431885,False,pp,0.952,,0.0,0.0,0.0,0.0,0.292,0.65,0.823
74696,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,False,pp,0.857,,0.0,0.0,0.0,0.075,0.048,0.65,0.591
74468,9606.ENSP00000237014 (pp) 9606.ENSP00000485552,pp,9606.ENSP00000237014 (pp) 9606.ENSP00000485552,False,pp,0.823,,0.0,0.0,0.0,0.0,0.0,0.0,0.823
74495,9606.ENSP00000237014 (pp) 9606.ENSP00000240652,pp,9606.ENSP00000237014 (pp) 9606.ENSP00000240652,False,pp,0.842,,0.0,0.0,0.0,0.047,0.0,0.4,0.746
